[2015-06-26 22:54:22] name.WARNING: Foo [] []
[2015-06-26 22:54:24] name.WARNING: Foo [] []
[2015-06-26 22:55:22] name.WARNING: Foo [] []
[2015-06-26 22:55:24] name.WARNING: Foo [] []
[2015-06-26 17:12:22] name.WARNING: Foo Two [] []
[2015-06-26 17:12:23] name.WARNING: Foo Two [] []
[2015-07-03 15:21:29] name.WARNING: Foo Two [] []
[2015-07-03 15:21:29] name.WARNING: Foo Two [] []
[2015-07-03 15:21:29] name.WARNING: Foo Two [] []
[2015-07-03 15:27:42] name.WARNING: Foo Two [] []
[2015-07-03 15:27:43] name.WARNING: Foo Two [] []
[2015-07-03 15:27:43] name.WARNING: Foo Two [] []
[2015-07-03 15:33:29] name.WARNING: Foo Two [] []
[2015-07-03 15:36:21] name.WARNING: Foo Two [] []
[2015-07-03 15:36:21] name.WARNING: Foo Two [] []
[2015-07-03 15:36:21] name.WARNING: Foo Two [] []
[2015-07-03 18:03:02] name.WARNING: Foo Two [] []
[2015-07-03 18:03:03] name.WARNING: Foo Two [] []
[2015-07-03 18:03:03] name.WARNING: Foo Two [] []
[2015-07-03 18:03:09] name.WARNING: Foo Two [] []
[2015-07-03 18:03:09] name.WARNING: Foo Two [] []
[2015-07-03 18:03:09] name.WARNING: Foo Two [] []
[2015-07-03 18:03:14] name.WARNING: Foo Two [] []
